step,train_minibatch_ce,gradient_norm_before_clipping,validation_ce,validation_perplexity,lr,tokens_processed,elapsed_seconds,throughput_tokens_per_second
0,4.395524978637695,2.685647487640381,4.381368263731612,79.94734765890598,4.9180327868852455e-06,4096,0.18888836699994727,21684.765796091317
1,4.382264137268066,2.7220518589019775,,,9.836065573770491e-06,8192,4.415562223999984,1855.2563828619323
2,4.3683247566223145,2.714186429977417,,,1.4754098360655737e-05,12288,4.442218180999987,2766.1856080274406
3,4.346498489379883,2.6376070976257324,,,1.9672131147540982e-05,16384,4.468261783999992,3666.750246968079
4,4.3119659423828125,2.6761109828948975,,,2.4590163934426228e-05,20480,4.493921830999966,4557.266630390606
5,4.287296772003174,2.618549346923828,,,2.9508196721311474e-05,24576,4.520595084999968,5436.452400160094
6,4.2424702644348145,2.5908939838409424,,,3.442622950819672e-05,28672,4.546933653999986,6305.788072094902
7,4.19957160949707,2.5877888202667236,,,3.9344262295081964e-05,32768,4.572817248999968,7165.823214817092
8,4.14119291305542,2.5258519649505615,,,4.4262295081967207e-05,36864,4.599253259999955,8015.214191531684
9,4.077716827392578,2.4996402263641357,,,4.9180327868852456e-05,40960,4.625445630999991,8855.362978538506
10,4.022923946380615,2.4970366954803467,,,5.40983606557377e-05,45056,4.651201381999954,9686.959626036774
11,3.964702606201172,2.4054980278015137,,,5.901639344262295e-05,49152,4.67755529599998,10508.053222167662
12,3.900869131088257,2.3836283683776855,,,6.393442622950819e-05,53248,4.704088180999975,11319.515695958058
13,3.848872661590576,2.297320604324341,,,6.885245901639344e-05,57344,4.730179865999958,12123.006233268787
14,3.802138090133667,2.2388179302215576,,,7.377049180327868e-05,61440,4.756309616999999,12917.577901236955
15,3.7385241985321045,2.194714307785034,,,7.868852459016393e-05,65536,4.7825419199999715,13703.173144376828
16,3.7110791206359863,2.065873861312866,,,8.360655737704918e-05,69632,4.808442296999999,14481.19696547957
17,3.637359619140625,2.0842039585113525,,,8.852459016393441e-05,73728,4.83421648999996,15251.282219675812
18,3.5884788036346436,2.0952110290527344,,,9.344262295081966e-05,77824,4.8604947519999655,16011.538736458357
19,3.5678508281707764,1.956955075263977,,,9.836065573770491e-05,81920,4.886508049999975,16764.527789942025
20,3.5308332443237305,1.9023438692092896,,,0.00010327868852459015,86016,4.9120955139999865,17511.06014833087
21,3.486260414123535,1.9224681854248047,,,0.0001081967213114754,90112,4.93853631799999,18246.701896584127
22,3.477146863937378,1.746963620185852,,,0.00011311475409836063,94208,4.964740803999973,18975.411551011657
23,3.4224019050598145,1.7930164337158203,,,0.0001180327868852459,98304,4.990550931999962,19698.025596665877
24,3.4366190433502197,1.6200783252716064,,,0.00012295081967213115,102400,5.016455427999972,20412.81966315132
25,3.3957629203796387,1.6425336599349976,,,0.00012786885245901638,106496,5.0425101149999705,21119.640332144503
26,3.390864849090576,1.5144786834716797,,,0.00013278688524590162,110592,5.068136708999987,21821.03726673571
27,3.3658337593078613,1.4624519348144531,,,0.00013770491803278688,114688,5.093575646999966,22516.20628576497
28,3.321063280105591,1.4688780307769775,,,0.00014262295081967212,118784,5.120149283999979,23199.323576597595
29,3.308133363723755,1.409522294998169,,,0.00014754098360655736,122880,5.146338932999981,23877.168138315552
30,3.3081936836242676,1.283287525177002,,,0.00015245901639344262,126976,5.172050743999989,24550.41651462967
31,3.2622952461242676,1.2689754962921143,,,0.00015737704918032785,131072,5.198633835999999,25212.77784412128
32,3.2668135166168213,1.1458404064178467,,,0.0001622950819672131,135168,5.224921299999949,25869.863341291155
33,3.258845806121826,1.0613157749176025,,,0.00016721311475409835,139264,5.250575982999976,26523.56626223509
34,3.278656005859375,0.9611901044845581,,,0.0001721311475409836,143360,5.2768763709999575,27167.587398458145
35,3.212689161300659,0.9927816987037659,,,0.00017704918032786883,147456,5.303003099999955,27806.1312089373
36,3.2098259925842285,0.8850242495536804,,,0.0001819672131147541,151552,5.328679024999985,28440.819814625713
37,3.177820920944214,0.8911861777305603,,,0.00018688524590163933,155648,5.356387201999951,29058.392183052907
38,3.1734018325805664,0.8484289050102234,,,0.00019180327868852456,159744,5.38287153899995,29676.35375331246
39,3.1680526733398438,0.7476818561553955,,,0.00019672131147540983,163840,5.408660625999971,30292.157583784196
40,3.1331090927124023,0.7431499361991882,,,0.00020163934426229506,167936,5.434636584999964,30901.054260650457
41,3.1231985092163086,0.7034595608711243,,,0.0002065573770491803,172032,5.461365496999974,31499.814486779956
42,3.122244358062744,0.6337652206420898,,,0.00021147540983606553,176128,5.4879115449999745,32093.811745284027
43,3.1201343536376953,0.5919239521026611,,,0.0002163934426229508,180224,5.516714156999967,32668.721791815155
44,3.1174962520599365,0.48549407720565796,,,0.00022131147540983603,184320,5.547133546999987,33227.97232810166
45,3.084432601928711,0.4598146080970764,,,0.00022622950819672127,188416,5.57350547499999,33805.65442074861
46,3.1096739768981934,0.3939999043941498,,,0.00023114754098360653,192512,5.600334821999979,34375.087582933214
47,3.1056265830993652,0.39394691586494446,,,0.0002360655737704918,196608,5.6267101659999526,34941.909961530735
48,3.080911636352539,0.4385872185230255,,,0.00024098360655737703,200704,5.652931194999951,35504.412326391626
49,3.060093402862549,0.37467917799949646,,,0.0002459016393442623,204800,5.679957142999967,36056.6100841795
50,3.0773730278015137,0.35433948040008545,,,0.0002508196721311475,208896,5.7065342099999725,36606.45714415178
51,3.080204963684082,0.30499356985092163,,,0.00025573770491803277,212992,5.732799540999963,37153.22653037475
52,3.095353364944458,0.32314789295196533,,,0.000260655737704918,217088,5.759521866,37692.01767971897
53,3.110682964324951,0.35180994868278503,,,0.00026557377049180324,221184,5.7859081849999825,38228.05217915857
54,3.051501750946045,0.2794623374938965,,,0.0002704918032786885,225280,5.81199782799996,38761.19824317346
55,3.0331451892852783,0.28868404030799866,,,0.00027540983606557377,229376,5.840618537999944,39272.552813994815
56,3.087876796722412,0.2507726550102234,,,0.000280327868852459,233472,5.867205360999947,39792.709754445925
57,3.0596110820770264,0.3508603572845459,,,0.00028524590163934424,237568,5.893217904999972,40312.101780326266
58,3.0895838737487793,0.26557788252830505,,,0.00029016393442622945,241664,5.919781738999973,40823.12670548294
59,2.995617628097534,0.3109027147293091,,,0.0002950819672131147,245760,5.949380349999956,41308.503666268676
60,3.109720230102539,0.3144459128379822,,,0.0003,249856,5.978363046999959,41793.38023397255
